Squadra;Colore
ALESSANDRIA;rgb(128, 128, 128)
ANCONA;rgb(255, 51, 0)
ASCOLI;rgb(0, 0, 0)
ATALANTA;rgb(0, 107, 167)
AVELLINO;rgb(41, 163, 41)
BARI;rgb(255, 0, 0)
BENEVENTO;rgb(230, 92, 0)
BOLOGNA;rgb(160, 25, 48)
BRESCIA;rgb(51, 153, 255)
CAGLIARI;rgb(173, 20, 40)
CARPI;rgb(255, 102, 102)
CASALE;rgb(38, 38, 38)
CATANIA;rgb(51, 204, 255)
CATANZARO;rgb(204, 0, 0)
CESENA;rgb(51, 51, 51)
CHIEVO;rgb(204, 204, 0)
COMO;rgb(0, 51, 153)
CREMONESE;rgb(102, 102, 153)
CROTONE;rgb(179, 0, 72)
EMPOLI;rgb(31, 83, 153)
FIORENTINA;rgb(97, 50, 140)
FOGGIA;rgb(179, 51, 51)
FROSINONE;rgb(216, 202, 0)
GENOA;rgb(172, 11, 21)
INTER;rgb(0, 30, 157)
JUVENTUS;rgb(0, 0, 0)
LAZIO;rgb(117, 210, 235)
LECCE;rgb(226, 6, 12)
LECCO;rgb(51, 153, 255)
LEGNANO;rgb(204, 153, 255)
LIGURIA;rgb(51, 51, 153)
LIVORNO;rgb(153, 0, 0)
LUCCHESE;rgb(204, 0, 0)
MANTOVA;rgb(204, 0, 0)
MESSINA;rgb(204, 0, 0)
MILAN;rgb(229, 0, 39)
MODENA;rgb(51, 51, 204)
MONZA;rgb(255, 26, 26)
NAPOLI;rgb(7, 148, 234)
NOVARA;rgb(51, 102, 255)
PADOVA;rgb(255, 0, 0)
PALERMO;rgb(255, 128, 255)
PARMA;rgb(255, 221, 0)
PERUGIA;rgb(255, 0, 0)
PESCARA;rgb(77, 184, 255)
PIACENZA;rgb(255, 0, 0)
PISA;rgb(1, 97, 176)
PISTOIESE;rgb(230, 138, 0)
PRO PATRIA;rgb(77, 121, 255)
PRO VERCELLI;rgb(179, 179, 204)
REGGIANA;rgb(118, 43, 43)
REGGINA;rgb(133, 10, 44)
ROMA;rgb(154, 2, 40)
SALERNITANA;rgb(123, 31, 33)
SAMPDORIA;rgb(0, 74, 150)
SAMPIERDARENESE;rgb(0, 74, 150)
SASSUOLO;rgb(0, 164, 82)
SIENA;rgb(0, 0, 0)
SPAL;rgb(0, 150, 234)
SPEZIA;rgb(0, 0, 0)
TERNANA;rgb(31, 99, 49)
TORINO;rgb(140, 37, 25)
TREVISO;rgb(139, 199, 251)
TRIESTINA;rgb(255, 0, 0)
UDINESE;rgb(0, 0, 0)
VARESE;rgb(255, 0, 0)
VENEZIA;rgb(25, 25, 25)
VERONA;rgb(0, 43, 108)
VICENZA;rgb(255, 0, 0)
