ID,Stagione,Giornata,Data,CASA,TRAS,GC,GT
19293001ALEROM,1929-30,1,06/10/1929,ALESSANDRIA,ROMA,3.0,1.0
19293001JUVNAP,1929-30,1,06/10/1929,JUVENTUS,NAPOLI,3.0,2.0
19293001LAZBOL,1929-30,1,06/10/1929,LAZIO,BOLOGNA,3.0,0.0
19293001LIVINT,1929-30,1,06/10/1929,LIVORNO,INTER,1.0,2.0
19293001MILBRE,1929-30,1,06/10/1929,MILAN,BRESCIA,4.0,1.0
19293001PADMOD,1929-30,1,06/10/1929,PADOVA,MODENA,1.0,3.0
19293001PROCRE,1929-30,1,06/10/1929,PRO PATRIA,CREMONESE,4.0,2.0
19293001PROGEN,1929-30,1,06/10/1929,PRO VERCELLI,GENOA,3.0,3.0
19293001TRITOR,1929-30,1,06/10/1929,TRIESTINA,TORINO,0.0,1.0
19293002ALEPRO,1929-30,2,13/10/1929,ALESSANDRIA,PRO PATRIA,0.0,0.0
19293002BOLTRI,1929-30,2,13/10/1929,BOLOGNA,TRIESTINA,2.0,2.0
19293002GENLAZ,1929-30,2,13/10/1929,GENOA,LAZIO,2.0,0.0
19293002LIVJUV,1929-30,2,13/10/1929,LIVORNO,JUVENTUS,1.0,5.0
19293002MILMOD,1929-30,2,13/10/1929,MILAN,MODENA,1.0,0.0
19293002NAPBRE,1929-30,2,13/10/1929,NAPOLI,BRESCIA,1.0,1.0
19293002PROINT,1929-30,2,13/10/1929,PRO VERCELLI,INTER,1.0,0.0
19293002ROMCRE,1929-30,2,13/10/1929,ROMA,CREMONESE,9.0,0.0
19293002TORPAD,1929-30,2,13/10/1929,TORINO,PADOVA,3.0,1.0
19293003BREPAD,1929-30,3,20/10/1929,BRESCIA,PADOVA,3.0,2.0
19293003CREJUV,1929-30,3,20/10/1929,CREMONESE,JUVENTUS,0.0,0.0
19293003INTBOL,1929-30,3,20/10/1929,INTER,BOLOGNA,2.0,1.0
19293003LAZALE,1929-30,3,20/10/1929,LAZIO,ALESSANDRIA,0.0,0.0
19293003MODPRO,1929-30,3,20/10/1929,MODENA,PRO VERCELLI,1.0,1.0
19293003NAPMIL,1929-30,3,20/10/1929,NAPOLI,MILAN,2.0,1.0
19293003PROGEN,1929-30,3,20/10/1929,PRO PATRIA,GENOA,0.0,1.0
19293003TORLIV,1929-30,3,20/10/1929,TORINO,LIVORNO,3.0,0.0
19293003TRIROM,1929-30,3,20/10/1929,TRIESTINA,ROMA,1.0,1.0
19293004BOLNAP,1929-30,4,27/10/1929,BOLOGNA,NAPOLI,3.0,1.0
19293004CRETRI,1929-30,4,27/10/1929,CREMONESE,TRIESTINA,2.0,1.0
19293004GENTOR,1929-30,4,27/10/1929,GENOA,TORINO,1.0,0.0
19293004JUVPRO,1929-30,4,27/10/1929,JUVENTUS,PRO PATRIA,1.0,0.0
19293004LAZINT,1929-30,4,27/10/1929,LAZIO,INTER,1.0,1.0
19293004LIVMOD,1929-30,4,27/10/1929,LIVORNO,MODENA,2.0,2.0
19293004MILROM,1929-30,4,27/10/1929,MILAN,ROMA,3.0,1.0
19293004PADALE,1929-30,4,27/10/1929,PADOVA,ALESSANDRIA,1.0,3.0
19293004PROBRE,1929-30,4,27/10/1929,PRO VERCELLI,BRESCIA,2.0,0.0
19293005ALETOR,1929-30,5,03/11/1929,ALESSANDRIA,TORINO,3.0,3.0
19293005BOLMIL,1929-30,5,03/11/1929,BOLOGNA,MILAN,1.0,1.0
19293005INTCRE,1929-30,5,03/11/1929,INTER,CREMONESE,3.0,2.0
19293005JUVPRO,1929-30,5,03/11/1929,JUVENTUS,PRO VERCELLI,6.0,1.0
19293005MODGEN,1929-30,5,03/11/1929,MODENA,GENOA,2.0,1.0
19293005NAPLIV,1929-30,5,03/11/1929,NAPOLI,LIVORNO,1.0,1.0
19293005PROPAD,1929-30,5,03/11/1929,PRO PATRIA,PADOVA,0.0,0.0
19293005ROMBRE,1929-30,5,03/11/1929,ROMA,BRESCIA,2.0,1.0
19293005TRILAZ,1929-30,5,03/11/1929,TRIESTINA,LAZIO,3.0,3.0
19293006ALEJUV,1929-30,6,10/11/1929,ALESSANDRIA,JUVENTUS,1.0,0.0
19293006BREPRO,1929-30,6,10/11/1929,BRESCIA,PRO PATRIA,2.0,1.0
19293006CREGEN,1929-30,6,10/11/1929,CREMONESE,GENOA,1.0,2.0
19293006MILINT,1929-30,6,10/11/1929,MILAN,INTER,1.0,2.0
19293006MODLAZ,1929-30,6,10/11/1929,MODENA,LAZIO,0.0,0.0
