ID,Stagione,Giornata,Data,CASA,TRAS,GC,GT
20242526VERFIO,2024-25,26,23/02/2025,VERONA,FIORENTINA,,
20242526EMPATA,2024-25,26,23/02/2025,EMPOLI,ATALANTA,,
20242526TORMIL,2024-25,26,22/02/2025,TORINO,MILAN,,
20242526PARBOL,2024-25,26,22/02/2025,PARMA,BOLOGNA,,
20242526LECUDI,2024-25,26,21/02/2025,LECCE,UDINESE,,
20242526VENLAZ,2024-25,26,22/02/2025,VENEZIA,LAZIO,,
20242526INTGEN,2024-25,26,22/02/2025,INTER,GENOA,,
20242526CAGJUV,2024-25,26,23/02/2025,CAGLIARI,JUVENTUS,,
20242526ROMMON,2024-25,26,24/02/2025,ROMA,MONZA,,
20242526COMNAP,2024-25,26,23/02/2025,COMO,NAPOLI,,
20242509BOLMIL,2024-25,9,26/02/2025,BOLOGNA,MILAN,,
20242527MONTOR,2024-25,27,02/03/2025,MONZA,TORINO,,
20242527NAPINT,2024-25,27,02/03/2025,NAPOLI,INTER,,
20242527JUVVER,2024-25,27,02/03/2025,JUVENTUS,VERONA,,
20242527GENEMP,2024-25,27,02/03/2025,GENOA,EMPOLI,,
20242527FIOLEC,2024-25,27,02/03/2025,FIORENTINA,LECCE,,
20242527MILLAZ,2024-25,27,02/03/2025,MILAN,LAZIO,,
20242527ROMCOM,2024-25,27,02/03/2025,ROMA,COMO,,
20242527UDIPAR,2024-25,27,02/03/2025,UDINESE,PARMA,,
20242527BOLCAG,2024-25,27,02/03/2025,BOLOGNA,CAGLIARI,,
20242527ATAVEN,2024-25,27,02/03/2025,ATALANTA,VENEZIA,,
20242528LAZUDI,2024-25,28,09/03/2025,LAZIO,UDINESE,,
20242528NAPFIO,2024-25,28,09/03/2025,NAPOLI,FIORENTINA,,
20242528JUVATA,2024-25,28,09/03/2025,JUVENTUS,ATALANTA,,
20242528VERBOL,2024-25,28,09/03/2025,VERONA,BOLOGNA,,
20242528CAGGEN,2024-25,28,09/03/2025,CAGLIARI,GENOA,,
20242528LECMIL,2024-25,28,09/03/2025,LECCE,MILAN,,
20242528COMVEN,2024-25,28,09/03/2025,COMO,VENEZIA,,
20242528PARTOR,2024-25,28,09/03/2025,PARMA,TORINO,,
20242528EMPROM,2024-25,28,09/03/2025,EMPOLI,ROMA,,
20242528INTMON,2024-25,28,09/03/2025,INTER,MONZA,,
20242529BOLLAZ,2024-25,29,16/03/2025,BOLOGNA,LAZIO,,
20242529MILCOM,2024-25,29,16/03/2025,MILAN,COMO,,
20242529ROMCAG,2024-25,29,16/03/2025,ROMA,CAGLIARI,,
20242529UDIVER,2024-25,29,16/03/2025,UDINESE,VERONA,,
20242529ATAINT,2024-25,29,16/03/2025,ATALANTA,INTER,,
20242529MONPAR,2024-25,29,16/03/2025,MONZA,PARMA,,
20242529FIOJUV,2024-25,29,16/03/2025,FIORENTINA,JUVENTUS,,
20242529TOREMP,2024-25,29,16/03/2025,TORINO,EMPOLI,,
