Squadra;Anno;Scudetti
GENOA;1929;9
MILAN;1929;3
JUVENTUS;1929;2
PRO VERCELLI;1929;7
CASALE;1929;1
INTER;1929;2
BOLOGNA;1929;2
TORINO;1929;1
GENOA;1930;9
MILAN;1930;3
JUVENTUS;1930;2
PRO VERCELLI;1930;7
CASALE;1930;1
INTER;1930;3
BOLOGNA;1930;2
TORINO;1930;1
GENOA;1931;9
MILAN;1931;3
JUVENTUS;1931;3
PRO VERCELLI;1931;7
CASALE;1931;1
INTER;1931;3
BOLOGNA;1931;2
TORINO;1931;1
GENOA;1932;9
MILAN;1932;3
JUVENTUS;1932;4
PRO VERCELLI;1932;7
CASALE;1932;1
INTER;1932;3
BOLOGNA;1932;2
TORINO;1932;1
GENOA;1933;9
MILAN;1933;3
JUVENTUS;1933;5
PRO VERCELLI;1933;7
CASALE;1933;1
INTER;1933;3
BOLOGNA;1933;2
TORINO;1933;1
GENOA;1934;9
MILAN;1934;3
JUVENTUS;1934;6
PRO VERCELLI;1934;7
CASALE;1934;1
INTER;1934;3
BOLOGNA;1934;2
TORINO;1934;1
GENOA;1935;9
MILAN;1935;3
JUVENTUS;1935;7
PRO VERCELLI;1935;7
CASALE;1935;1
INTER;1935;3
BOLOGNA;1935;2
TORINO;1935;1
GENOA;1936;9
MILAN;1936;3
JUVENTUS;1936;7
PRO VERCELLI;1936;7
CASALE;1936;1
INTER;1936;3
BOLOGNA;1936;3
TORINO;1936;1
GENOA;1937;9
MILAN;1937;3
JUVENTUS;1937;7
PRO VERCELLI;1937;7
CASALE;1937;1
INTER;1937;3
BOLOGNA;1937;4
TORINO;1937;1
GENOA;1938;9
MILAN;1938;3
JUVENTUS;1938;7
PRO VERCELLI;1938;7
CASALE;1938;1
INTER;1938;4
BOLOGNA;1938;4
TORINO;1938;1
GENOA;1939;9
MILAN;1939;3
JUVENTUS;1939;7
PRO VERCELLI;1939;7
CASALE;1939;1
INTER;1939;4
BOLOGNA;1939;5
TORINO;1939;1
GENOA;1940;9
MILAN;1940;3
JUVENTUS;1940;7
PRO VERCELLI;1940;7
CASALE;1940;1
INTER;1940;5
BOLOGNA;1940;5
TORINO;1940;1
GENOA;1941;9
MILAN;1941;3
JUVENTUS;1941;7
PRO VERCELLI;1941;7
CASALE;1941;1
INTER;1941;5
BOLOGNA;1941;6
TORINO;1941;1
GENOA;1942;9
MILAN;1942;3
JUVENTUS;1942;7
PRO VERCELLI;1942;7
CASALE;1942;1
INTER;1942;5
BOLOGNA;1942;6
TORINO;1942;1
ROMA;1942;1
GENOA;1943;9
MILAN;1943;3
JUVENTUS;1943;7
PRO VERCELLI;1943;7
CASALE;1943;1
INTER;1943;5
BOLOGNA;1943;6
TORINO;1943;2
ROMA;1943;1
GENOA;1947;9
MILAN;1947;3
JUVENTUS;1947;7
PRO VERCELLI;1947;7
CASALE;1947;1
INTER;1947;5
BOLOGNA;1947;6
TORINO;1947;4
ROMA;1947;1
GENOA;1948;9
MILAN;1948;3
JUVENTUS;1948;7
PRO VERCELLI;1948;7
CASALE;1948;1
INTER;1948;5
BOLOGNA;1948;6
TORINO;1948;5
ROMA;1948;1
GENOA;1949;9
MILAN;1949;3
JUVENTUS;1949;7
PRO VERCELLI;1949;7
CASALE;1949;1
INTER;1949;5
BOLOGNA;1949;6
TORINO;1949;6
ROMA;1949;1
GENOA;1950;9
MILAN;1950;3
JUVENTUS;1950;8
PRO VERCELLI;1950;7
CASALE;1950;1
