Stagione;Vincitore;url_Stemma
2023-24;INTER;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/INTER/2999.png?raw=true
2022-23;NAPOLI;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/NAPOLI/2023.png?raw=true
2021-22;MILAN;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/MILAN/2999.png?raw=true
2020-21;INTER;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/INTER/2020.png?raw=true
2019-20;JUVENTUS;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/JUVENTUS/2019.png?raw=true
2018-19;JUVENTUS;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/JUVENTUS/2019.png?raw=true
2017-18;JUVENTUS;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/JUVENTUS/2019.png?raw=true
2016-17;JUVENTUS;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/JUVENTUS/2016.png?raw=true
2015-16;JUVENTUS;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/JUVENTUS/2016.png?raw=true
2014-15;JUVENTUS;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/JUVENTUS/2016.png?raw=true
2013-14;JUVENTUS;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/JUVENTUS/2016.png?raw=true
2012-13;JUVENTUS;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/JUVENTUS/2016.png?raw=true
2011-12;JUVENTUS;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/JUVENTUS/2016.png?raw=true
2010-11;MILAN;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/MILAN/2999.png?raw=true
2009-10;INTER;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/INTER/2013.png?raw=true
2008-09;INTER;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/INTER/2013.png?raw=true
2007-08;INTER;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/INTER/2013.png?raw=true
2006-07;INTER;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/INTER/2006.png?raw=true
2005-06;JUVENTUS;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/JUVENTUS/2016.png?raw=true
2004-05;JUVENTUS;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/JUVENTUS/2016.png?raw=true
2003-04;MILAN;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/MILAN/2999.png?raw=true
2002-03;JUVENTUS;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/JUVENTUS/2003.png?raw=true
2001-02;JUVENTUS;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/JUVENTUS/2003.png?raw=true
2000-01;ROMA;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/ROMA/2012.png?raw=true
1999-00;LAZIO;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/LAZIO/2999.png?raw=true
1998-99;MILAN;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/MILAN/2999.png?raw=true
1997-98;JUVENTUS;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/JUVENTUS/2003.png?raw=true
1996-97;JUVENTUS;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/JUVENTUS/2003.png?raw=true
1995-96;MILAN;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/MILAN/1997.png?raw=true
1994-95;JUVENTUS;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/JUVENTUS/2003.png?raw=true
1993-94;MILAN;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/MILAN/1997.png?raw=true
1992-93;MILAN;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/MILAN/1997.png?raw=true
1991-92;MILAN;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/MILAN/1997.png?raw=true
1990-91;SAMPDORIA;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/SAMPDORIA/2999.png?raw=true
1989-90;NAPOLI;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/NAPOLI/1990.png?raw=true
1988-89;INTER;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/INTER/1988.png?raw=true
1987-88;MILAN;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/MILAN/1997.png?raw=true
1986-87;NAPOLI;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/NAPOLI/1990.png?raw=true
1985-86;JUVENTUS;https://github.com/tommyblasco/SerieA_History/blob/main/images/stemmi/JUVENTUS/1989.png?raw=true
