Data;Da;A;Nome;Spesa A;Entrata Da;Tipo_operazione;Costo contratto;TP
2019-09-03;Svincolato;The Lumberjacks;SPORTIELLO; 0,10 € ; -    € ;DEF; 0,10 € ;2022-06-30
2019-09-03;Svincolato;Vanndoria;MIRANTE; 0,05 € ; -    € ;DEF; 0,05 € ;2021-06-30
2019-09-03;Svincolato;Doria Emiliana;SKORUPSKI; 0,50 € ; -    € ;DEF; 0,10 € ;2022-06-30
2019-09-03;Svincolato;Parter;SEPE; 0,45 € ; -    € ;DEF; 0,10 € ;2022-06-30
2019-09-03;Svincolato;Agghiaggiande;PERIN; 0,15 € ; -    € ;DEF; 0,05 € ;2021-06-30
2019-09-03;Svincolato;Parter;HANDANOVIC; 1,90 € ; -    € ;DEF; 0,05 € ;2021-06-30
2019-09-03;Svincolato;Agghiaggiande;BUFFON; 0,60 € ; -    € ;DEF; 0,02 € ;2020-06-30
2019-09-03;Svincolato;Aquile Estensi;BERISHA E; 0,30 € ; -    € ;DEF; 0,05 € ;2021-06-30
2019-09-03;Svincolato;Diavoli Felsinei;DONNARUMMA G; 1,60 € ; -    € ;DEF; 0,15 € ;2023-06-30
2019-09-03;Svincolato;Doria Emiliana;GABRIEL; 0,25 € ; -    € ;DEF; 0,02 € ;2020-06-30
2019-09-03;Svincolato;Diavoli Felsinei;REINA; 0,10 € ; -    € ;DEF; 0,05 € ;2021-06-30
2019-09-03;Svincolato;Agghiaggiande;SZCZESNY; 2,40 € ; -    € ;DEF; 0,10 € ;2022-06-30
2019-09-03;Svincolato;Doria Emiliana;CONSIGLI; 0,25 € ; -    € ;DEF; 0,15 € ;2023-06-30
2019-09-03;Svincolato;Parter;PADELLI; 0,10 € ; -    € ;DEF; 0,05 € ;2021-06-30
2019-09-03;Svincolato;Cimamori la Verace;KARNEZIS; 0,15 € ; -    € ;DEF; 0,05 € ;2021-06-30
2019-09-03;Svincolato;Cimamori la Verace;MERET; 1,75 € ; -    € ;DEF; 0,20 € ;2024-06-30
2019-09-03;Svincolato;The Lumberjacks;GOLLINI; 1,25 € ; -    € ;DEF; 0,20 € ;2024-06-30
2019-09-03;Svincolato;Diavoli Felsinei;AUDERO; 0,55 € ; -    € ;DEF; 0,05 € ;2021-06-30
2019-09-03;Svincolato;Zena Viola;RADU I; 0,20 € ; -    € ;DEF; 0,10 € ;2022-06-30
2019-09-03;Svincolato;Zena Viola;DRAGOWSKI; 0,50 € ; -    € ;DEF; 0,10 € ;2022-06-30
2019-09-03;Svincolato;Agghiaggiande;PINSOGLIO; 0,15 € ; -    € ;DEF; 0,02 € ;2020-06-30
2019-09-03;Svincolato;Aquile Estensi;STRAKOSHA; 1,10 € ; -    € ;DEF; 0,15 € ;2023-06-30
2019-09-03;Svincolato;Los Angeles Showtime;CRAGNO; 0,50 € ; -    € ;DEF; 0,10 € ;2022-06-30
2019-09-03;Svincolato;Los Angeles Showtime;SIRIGU; 1,35 € ; -    € ;DEF; 0,10 € ;2022-06-30
2019-09-03;Svincolato;Cimamori la Verace;OSPINA; 0,40 € ; -    € ;DEF; 0,05 € ;2021-06-30
2019-09-03;Svincolato;Aquile Estensi;PROTO; 0,10 € ; -    € ;DEF; 0,05 € ;2021-06-30
2019-09-03;Svincolato;The Lumberjacks;MUSSO; 0,45 € ; -    € ;DEF; 0,15 € ;2023-06-30
2019-09-03;Svincolato;Zena Viola;TERRACCIANO; 0,05 € ; -    € ;DEF; 0,02 € ;2020-06-30
2019-09-03;Svincolato;Los Angeles Showtime;OLSEN; 0,05 € ; -    € ;DEF; 0,05 € ;2021-06-30
2019-09-03;Svincolato;Vanndoria;PAU LOPEZ; 0,85 € ; -    € ;DEF; 0,10 € ;2022-06-30
2019-09-03;Svincolato;Vanndoria;JORONEN; 0,25 € ; -    € ;DEF; 0,05 € ;2021-06-30
2019-09-03;Svincolato;Diavoli Felsinei;CONTI; 0,55 € ; -    € ;DEF; 0,10 € ;2022-06-30
2019-09-03;Svincolato;Aquile Estensi;MASIELLO A; 0,25 € ; -    € ;DEF; 0,02 € ;2020-06-30
2019-09-03;Svincolato;Doria Emiliana;GAGLIOLO; 0,35 € ; -    € ;DEF; 0,02 € ;2020-06-30
2019-09-03;Svincolato;Los Angeles Showtime;CACCIATORE; 0,40 € ; -    € ;DEF; 0,02 € ;2020-06-30
2019-09-03;Svincolato;Cimamori la Verace;HYSAJ; 0,95 € ; -    € ;DEF; 0,10 € ;2022-06-30
2019-09-03;Svincolato;Cimamori la Verace;MARIO RUI; 0,70 € ; -    € ;DEF; 0,10 € ;2022-06-30
2019-09-03;Svincolato;Cimamori la Verace;TONELLI; 0,70 € ; -    € ;DEF; 0,05 € ;2021-06-30
2019-09-03;Svincolato;Diavoli Felsinei;IZZO; 1,10 € ; -    € ;DEF; 0,10 € ;2022-06-30
2019-09-03;Svincolato;Doria Emiliana;GHIGLIONE; 0,15 € ; -    € ;DEF; 0,10 € ;2022-06-30
2019-09-03;Svincolato;Zena Viola;BIRAGHI; 0,20 € ; -    € ;DEF; 0,10 € ;2022-06-30
2019-09-03;Svincolato;The Lumberjacks;D'AMBROSIO; 0,90 € ; -    € ;DEF; 0,10 € ;2022-06-30
2019-09-03;Svincolato;Los Angeles Showtime;MURILLO; 0,30 € ; -    € ;DEF; 0,02 € ;2020-06-30
2019-09-03;Svincolato;Agghiaggiande;BONUCCI; 1,65 € ; -    € ;DEF; 0,10 € ;2022-06-30
2019-09-03;Svincolato;Agghiaggiande;RUGANI; 1,05 € ; -    € ;DEF; 0,10 € ;2022-06-30
2019-09-03;Svincolato;Parter;ASAMOAH; 1,10 € ; -    € ;DEF; 0,05 € ;2021-06-30
2019-09-03;Svincolato;Cimamori la Verace;DE VRIJ; 1,90 € ; -    € ;DEF; 0,15 € ;2023-06-30
2019-09-03;Svincolato;Aquile Estensi;RADU; 0,55 € ; -    € ;DEF; 0,05 € ;2021-06-30
2019-09-03;Svincolato;Diavoli Felsinei;CALABRIA; 0,95 € ; -    € ;DEF; 0,10 € ;2022-06-30
2019-09-03;Svincolato;Agghiaggiande;DE SCIGLIO; 0,90 € ; -    € ;DEF; 0,05 € ;2021-06-30
2019-09-03;Svincolato;Diavoli Felsinei;ZAPATA C; 1,20 € ; -    € ;DEF; 0,05 € ;2021-06-30
2019-09-03;Svincolato;Cimamori la Verace;GHOULAM; 1,60 € ; -    € ;DEF; 0,10 € ;2022-06-30
2019-09-03;Svincolato;Cimamori la Verace;KOULIBALY; 1,90 € ; -    € ;DEF; 0,15 € ;2023-06-30
2019-09-03;Svincolato;Parter;MANOLAS; 1,35 € ; -    € ;DEF; 0,15 € ;2023-06-30
2019-09-03;Svincolato;Diavoli Felsinei;ROMAGNOLI A; 1,50 € ; -    € ;DEF; 0,10 € ;2022-06-30
2019-09-03;Svincolato;Vanndoria;FLORENZI; 0,60 € ; -    € ;DEF; 0,15 € ;2023-06-30
2019-09-03;Svincolato;Los Angeles Showtime;DE SILVESTRI; 1,05 € ; -    € ;DEF; 0,10 € ;2022-06-30
2019-09-03;Svincolato;Aquile Estensi;ACERBI; 1,10 € ; -    € ;DEF; 0,15 € ;2023-06-30
2019-09-03;Svincolato;Vanndoria;DELL'ORCO; 0,20 € ; -    € ;DEF; 0,05 € ;2021-06-30
2019-09-03;Svincolato;Parter;PELUSO; 0,25 € ; -    € ;DEF; 0,05 € ;2021-06-30
2019-09-03;Svincolato;Cimamori la Verace;MAKSIMOVIC; 0,70 € ; -    € ;DEF; 0,05 € ;2021-06-30
2019-09-03;Svincolato;Agghiaggiande;ZAPPACOSTA; 0,90 € ; -    € ;DEF; 0,02 € ;2020-06-30
2019-09-03;Svincolato;Agghiaggiande;FARAONI; 0,40 € ; -    € ;DEF; 0,02 € ;2020-06-30
