Utente;Stagione;Nome Squadra;Presidente;DS;Allenatore
Alesiani;2019-20;Doria Emiliana;Yonghong Li;Mirabelli Massimiliano;Gattuso Gennaro
Vannini;2019-20;Vanndoria;Vannini Lorenzo;Ventura Giampiero;Corradi Bernardo
Sgherri;2019-20;Los Angeles Showtime;Thohir Erick;Branca Marco;Materazzi Marco
Bologna;2019-20;Zena Viola;Bolsonero Jair;Bargiggia Paolo;Adani Daniele
Sacchini;2019-20;Aquile Estensi;Bradbury Steven;Sacchi Arrigo;Capuano Eziolino
Fioravanti;2019-20;The Lumberjacks;Kurz Sebastian;Prohaska Herbert;Arnautovic Marko
Secci;2019-20;Parter;Gaucci Luciano;Corvino Pantaleo;Cosmi Serse
Nesi;2019-20;Diavoli Felsinei;Pardo Pierluigi;Caressa Fabio;Cassano Antonio
Iannini;2019-20;Agghiaggiande;Del Piero Alessandro;Platini Michel;Conte Antonio
Giorli;2019-20;Cimamori FC;Prince George;Barton Joey;Di Canio Paolo
