Nome;Stagione;QI;QA;Diff;VI;VA;;
SPORTIELLO;2019-20;1;1;0; 0,10 € ; 0,10 € ;;
MIRANTE;2019-20;1;1;0; 0,05 € ; 0,05 € ;;
SKORUPSKI;2019-20;10;6;-4; 0,50 € ; 0,30 € ;;
SEPE;2019-20;9;11;2; 0,45 € ; 0,55 € ;;
PERIN;2019-20;1;1;0; 0,15 € ; 0,15 € ;;
HANDANOVIC;2019-20;18;14;-4; 1,90 € ; 1,70 € ;;
BUFFON;2019-20;4;6;2; 0,60 € ; 0,70 € ;;
BERISHA E;2019-20;8;11;3; 0,30 € ; 0,45 € ;;
DONNARUMMA G;2019-20;15;15;0; 1,60 € ; 1,60 € ;;
GABRIEL;2019-20;6;8;2; 0,25 € ; 0,35 € ;;
REINA;2019-20;1;7;6; 0,10 € ; 0,40 € ;;
SZCZESNY;2019-20;16;16;0; 2,40 € ; 2,40 € ;;
CONSIGLI;2019-20;10;10;0; 0,25 € ; 0,25 € ;;
PADELLI;2019-20;1;1;0; 0,10 € ; 0,10 € ;;
KARNEZIS;2019-20;1;1;0; 0,15 € ; 0,15 € ;;
MERET;2019-20;13;13;0; 1,75 € ; 1,75 € ;;
GOLLINI;2019-20;13;11;-2; 1,25 € ; 1,15 € ;;
AUDERO;2019-20;10;8;-2; 0,55 € ; 0,45 € ;;
RADU I;2019-20;8;5;-3; 0,20 € ; 0,05 € ;;
DRAGOWSKI;2019-20;10;10;0; 0,50 € ; 0,50 € ;;
PINSOGLIO;2019-20;1;1;0; 0,15 € ; 0,15 € ;;
STRAKOSHA;2019-20;14;16;2; 1,10 € ; 1,20 € ;;
CRAGNO;2019-20;11;5;-6; 0,50 € ; 0,20 € ;;
SIRIGU;2019-20;14;15;1; 1,35 € ; 1,40 € ;;
OSPINA;2019-20;3;6;3; 0,40 € ; 0,55 € ;;
PROTO;2019-20;1;1;0; 0,10 € ; 0,10 € ;;
MUSSO;2019-20;9;13;4; 0,45 € ; 0,65 € ;;
TERRACCIANO;2019-20;1;1;0; 0,05 € ; 0,05 € ;;
OLSEN;2019-20;1;11;10; 0,05 € ; 0,55 € ;;
PAU LOPEZ;2019-20;13;12;-1; 0,85 € ; 0,80 € ;;
JORONEN;2019-20;8;8;0; 0,25 € ; 0,25 € ;;
CONTI;2019-20;5;2;-3; 0,55 € ; 0,40 € ;;
MASIELLO A;2019-20;7;4;-3; 0,25 € ; 0,10 € ;;
