Stagione;Nome;Ruolo
2019-20;RADUNOVIC;Por
2019-20;SPORTIELLO;Por
2019-20;DA COSTA;Por
2019-20;MIRANTE;Por
2019-20;SARR M;Por
2019-20;SECULIN;Por
2019-20;SKORUPSKI;Por
2019-20;SEPE;Por
2019-20;DONNARUMMA AN;Por
2019-20;PERIN;Por
2019-20;UJKANI;Por
2019-20;BERNI;Por
2019-20;HANDANOVIC;Por
2019-20;BUFFON;Por
2019-20;BERISHA E;Por
2019-20;GUERRIERI;Por
2019-20;MARCHETTI;Por
2019-20;DONNARUMMA G;Por
2019-20;GABRIEL;Por
2019-20;REINA;Por
2019-20;COLOMBI;Por
2019-20;SZCZESNY;Por
2019-20;CONSIGLI;Por
2019-20;PEGOLO;Por
2019-20;PADELLI;Por
2019-20;KARNEZIS;Por
2019-20;MERET;Por
2019-20;GOLLINI;Por
2019-20;RAFAEL;Por
2019-20;ALASTRA;Por
2019-20;PERISAN;Por
2019-20;AUDERO;Por
2019-20;RADU I;Por
2019-20;DRAGOWSKI;Por
2019-20;PINSOGLIO;Por
2019-20;STRAKOSHA;Por
2019-20;ARESTI;Por
2019-20;FALCONE;Por
2019-20;CRAGNO;Por
2019-20;SIRIGU;Por
2019-20;SILVESTRI;Por
2019-20;ZACCAGNO;Por
2019-20;NICOLAS;Por
2019-20;CEROFOLINI;Por
2019-20;ROSSI F;Por
2019-20;OSPINA;Por
2019-20;VODISEK;Por
2019-20;PROTO;Por
2019-20;FUZATO;Por
2019-20;ROSATI;Por
2019-20;MUSSO;Por
2019-20;VIGORITO;Por
2019-20;TERRACCIANO;Por
2019-20;OLSEN;Por
2019-20;JANDREI;Por
2019-20;BRANCOLINI;Por
2019-20;BORGHETTO;Por
2019-20;PAU LOPEZ;Por
2019-20;JORONEN;Por
2019-20;ALFONSO;Por
2019-20;ANDRENACCI;Por
2019-20;BLEVE;Por
2019-20;THIAM D;Por
2019-20;BERARDI A;Por
2019-20;RUSSO A;Por
2019-20;LETICA;Por
2019-20;AVOGADRI;Por
2019-20;CONTI;"DD; E"
2019-20;MASIELLO A;"DD; DC"
2019-20;FERRARI A;"DD; DC"
2019-20;GASTALDELLO;DC
2019-20;MBAYE;"DD; DS; E"
2019-20;ROSSETTINI;"DD; DC"
2019-20;GAGLIOLO;"DS; DC"
2019-20;CACCIATORE;"DD; DS; E"
2019-20;MATTIELLO;"DD; DS; E"
2019-20;DERMAKU;DC
2019-20;HYSAJ;"DD; DS; E"
2019-20;LAURINI;"DD; E"
2019-20;MARIO RUI;"DS; E"
2019-20;TONELLI;DC
2019-20;TOMOVIC;"DD; DC"
2019-20;DE MAIO;DC
2019-20;IZZO;"DD; DC"
2019-20;GHIGLIONE;"DD; E"
2019-20;BIRAGHI;"DS; E"
2019-20;D'AMBROSIO;"DD; DS; DC"
2019-20;DIMARCO;"DS; E"
2019-20;JUAN JESUS;"DS; DC"
2019-20;MURILLO;DC
2019-20;RANOCCHIA;DC
2019-20;SANTON;"DD; DS; E"
2019-20;BONUCCI;DC
2019-20;CACERES;"DD; DC"
2019-20;CHIELLINI;DC
2019-20;RUGANI;DC
2019-20;ASAMOAH;"DS; E"
2019-20;DE VRIJ;DC
2019-20;PATRIC;"DD; DC; E"
2019-20;RADU;"DS; DC"
2019-20;CALABRIA;"DD; E"
2019-20;DE SCIGLIO;"DD; DS; E"
2019-20;ZAPATA C;DC
2019-20;GHOULAM;"DS; E"
2019-20;KOULIBALY;DC
2019-20;LUPERTO;"DS; DC"
2019-20;GOLDANIGA;DC
2019-20;RISPOLI;"DD; E"
2019-20;CRESCENZI;"DD; DS; E"
2019-20;MANOLAS;DC
2019-20;ROMAGNOLI A;DC
2019-20;FLORENZI;"DD; E"
2019-20;DE SILVESTRI;"DD; E"
2019-20;REGINI;"DS; DC; E"
2019-20;SALAMON;DC
2019-20;ACERBI;DC
2019-20;DELL'ORCO;"DS; DC"
2019-20;PELUSO;"DS; DC"
2019-20;MAKSIMOVIC;"DD; DC"
2019-20;ZAPPACOSTA;"DD; E"
2019-20;DANILO LAR;DC
2019-20;FARAONI;"DD; E"
2019-20;SALA;"DD; E"
2019-20;CHIRICHES;DC
2019-20;ALEX SANDRO;"DS; E"
2019-20;TOLOI;DC
2019-20;FELIPE;DC
2019-20;PEZZELLA GIU;"DS; E"
2019-20;CIONEK;DC
2019-20;DJIMSITI;DC
2019-20;SAMIR;"DS; DC"
2019-20;SABELLI;"DD; E"
2019-20;SKRINIAR;DC
2019-20;FIAMOZZI;"DD; E"
2019-20;ADJAPONG;"DD; E"
2019-20;CALDARA;DC
2019-20;SPINAZZOLA;"DS; E"
2019-20;BRUNO ALVES;DC
2019-20;CEPPITELLI;DC
2019-20;MURRU;"DS; E"
2019-20;PISACANE;"DD; DS; DC"
2019-20;PAJAC;"DS; E"
2019-20;CECCHERINI;"DD; DC"
2019-20;FERRARI G;DC
2019-20;MARTELLA;"DS; E"
2019-20;BARRECA;"DS; E"
2019-20;LUKAKU J;E
2019-20;LIROLA;"DD; E"
2019-20;FAZIO;DC
2019-20;BASTOS;DC
2019-20;BIRASCHI;"DD; DC"
2019-20;BERESZYNSKI;"DD; E"
2019-20;BASTONI;DC
2019-20;HATEBOER;E
2019-20;DEPAOLI;"DD; E"
2019-20;GOSENS;E
2019-20;MILENKOVIC;"DD; DC"
2019-20;MUSACCHIO;DC
2019-20;RODRIGUEZ R;"DS; E"
2019-20;LYANCO;DC
2019-20;VENUTI;"DD; DS; E"
2019-20;PALOMINO;DC
2019-20;BONIFAZI;DC
2019-20;CASTAGNE;E
2019-20;KOLAROV;"DS; E"
2019-20;LUCIONI;DC
2019-20;VICARI;DC
