ID;Titolarita;Nome;Voto;Gf;Gs;Rp;Rs;Rf;Au;Amm;Esp;Ass;Giornata;Data
GOLLINI13703;0;GOLLINI;6,5;0;2;0;0;0;0;0;0;0;1;2019-08-26
MASIELLO A13703;0;MASIELLO A;5;0;0;0;0;0;0;0;0;0;1;2019-08-26
TOLOI13703;0;TOLOI;;0;0;0;0;0;0;0;0;0;1;2019-08-26
DJIMSITI13703;0;DJIMSITI;5,5;0;0;0;0;0;0;0;0;0;1;2019-08-26
HATEBOER13703;0;HATEBOER;5,5;0;0;0;0;0;0;0;0;1;1;2019-08-26
PALOMINO13703;0;PALOMINO;5,5;0;0;0;0;0;0;0;0;0;1;2019-08-26
GOSENS13703;0;GOSENS;7;1;0;0;0;0;0;0;0;0;1;2019-08-26
PASALIC13703;0;PASALIC;6;0;0;0;0;0;0;0;0;0;1;2019-08-26
DE ROON13703;0;DE ROON;6;0;0;0;0;0;0;1;0;0;1;2019-08-26
GOMEZ A13703;0;GOMEZ A;6,5;0;0;0;0;0;0;0;0;1;1;2019-08-26
MALINOVSKYI13703;0;MALINOVSKYI;6,5;0;0;0;0;0;0;0;0;0;1;2019-08-26
FREULER13703;0;FREULER;5,5;0;0;0;0;0;0;0;0;0;1;2019-08-26
MURIEL13703;0;MURIEL;8;2;0;0;0;0;0;0;0;0;1;2019-08-26
ZAPATA D13703;0;ZAPATA D;6;0;0;0;0;0;0;0;0;0;1;2019-08-26
SKORUPSKI13703;0;SKORUPSKI;6;0;1;0;0;0;0;0;0;0;1;2019-08-26
TOMIYASU13703;0;TOMIYASU;6,5;0;0;0;0;0;0;0;0;0;1;2019-08-26
DENSWIL13703;0;DENSWIL;6;0;0;0;0;0;0;1;0;0;1;2019-08-26
DIJKS13703;0;DIJKS;5,5;0;0;0;0;0;0;1;0;0;1;2019-08-26
DANILO LAR13703;0;DANILO LAR;6;0;0;0;0;0;0;0;0;0;1;2019-08-26
POLI13703;0;POLI;5,5;0;0;0;0;0;0;0;0;0;1;2019-08-26
SORIANO13703;0;SORIANO;5,5;0;0;0;0;0;0;0;0;0;1;2019-08-26
KINGSLEY13703;0;KINGSLEY;6;0;0;0;0;0;0;0;0;0;1;2019-08-26
DZEMAILI13703;0;DZEMAILI;6;0;0;0;0;0;0;0;0;0;1;2019-08-26
SANSONE N13703;0;SANSONE N;6,5;0;0;0;0;1;0;0;0;0;1;2019-08-26
PALACIO13703;0;PALACIO;5;0;0;0;0;0;0;0;0;0;1;2019-08-26
ORSOLINI13703;0;ORSOLINI;6,5;0;0;0;0;0;0;0;0;0;1;2019-08-26
SANTANDER13703;0;SANTANDER;5,5;0;0;0;0;0;0;0;0;0;1;2019-08-26
DESTRO13703;0;DESTRO;5,5;0;0;0;0;0;0;1;0;0;1;2019-08-26
JORONEN13703;0;JORONEN;7;0;0;0;0;0;0;0;0;0;1;2019-08-26
MARTELLA13703;0;MARTELLA;5;0;0;0;0;0;0;0;0;0;1;2019-08-26
SABELLI13703;0;SABELLI;6;0;0;0;0;0;0;0;0;0;1;2019-08-26
CHANCELLOR13703;0;CHANCELLOR;6,5;0;0;0;0;0;0;0;0;0;1;2019-08-26
CISTANA13703;0;CISTANA;7;0;0;0;0;0;0;0;0;0;1;2019-08-26
GASTALDELLO13703;0;GASTALDELLO;;0;0;0;0;0;0;0;0;0;1;2019-08-26
ZMRHAL13703;0;ZMRHAL;5,5;0;0;0;0;0;0;0;0;0;1;2019-08-26
SPALEK13703;0;SPALEK;6;0;0;0;0;0;0;0;0;0;1;2019-08-26
TONALI13703;0;TONALI;6,5;0;0;0;0;0;0;0;0;0;1;2019-08-26
DESSENA13703;0;DESSENA;6;0;0;0;0;0;0;1;0;0;1;2019-08-26
BISOLI13703;0;BISOLI;6;0;0;0;0;0;0;0;0;0;1;2019-08-26
AYE'13703;0;AYE';5;0;0;0;0;0;0;1;0;0;1;2019-08-26
DONNARUMMA AL13703;0;DONNARUMMA AL;7;0;0;0;0;1;0;0;0;0;1;2019-08-26
RAFAEL13703;0;RAFAEL;6,5;0;1;0;0;0;0;0;0;0;1;2019-08-26
CEPPITELLI13703;0;CEPPITELLI;6;0;0;0;0;0;0;0;0;0;1;2019-08-26
PINNA13703;0;PINNA;6,5;0;0;0;0;0;0;1;0;0;1;2019-08-26
LYKOGIANNIS13703;0;LYKOGIANNIS;5;0;0;0;0;0;0;1;0;0;1;2019-08-26
KLAVAN13703;0;KLAVAN;5;0;0;0;0;0;0;0;0;0;1;2019-08-26
NANDEZ13703;0;NANDEZ;6;0;0;0;0;0;0;0;0;0;1;2019-08-26
BIRSA13703;0;BIRSA;6;0;0;0;0;0;0;0;0;0;1;2019-08-26
